Date,Open,High,Low,Close,Adj Close,Volume
2022-09-09,2662.000000,2695.000000,2662.000000,2685.000000,2535.687744,1482200
2022-09-12,2704.000000,2728.000000,2691.000000,2727.000000,2575.351807,1189700
2022-09-13,2730.000000,2740.000000,2710.000000,2722.000000,2570.630127,1062200
2022-09-14,2651.000000,2681.000000,2624.000000,2678.000000,2529.076904,2052900
2022-09-15,2669.000000,2715.000000,2663.000000,2712.000000,2561.186035,1150500
2022-09-16,2712.000000,2730.000000,2689.000000,2699.000000,2548.909180,2029800
2022-09-20,2713.000000,2723.000000,2684.000000,2684.000000,2534.743164,1352900
2022-09-21,2672.000000,2682.000000,2647.000000,2650.000000,2502.633789,1480600
2022-09-22,2625.000000,2657.000000,2623.000000,2654.000000,2506.411621,1422500
2022-09-26,2623.000000,2639.000000,2551.000000,2557.000000,2414.805664,2759900
2022-09-27,2575.000000,2597.000000,2558.000000,2568.000000,2425.193848,1818300
2022-09-28,2559.000000,2576.000000,2526.000000,2560.000000,2417.638672,2058000
2022-09-29,2560.000000,2623.000000,2557.000000,2621.000000,2504.597412,2074800
2022-09-30,2580.000000,2619.000000,2561.000000,2596.000000,2480.707764,2339700
2022-10-03,2581.000000,2613.000000,2561.000000,2610.000000,2494.085938,1345900
2022-10-04,2657.000000,2706.000000,2652.000000,2703.000000,2582.955566,2721800
2022-10-05,2703.000000,2723.000000,2670.000000,2672.000000,2553.332275,1561900
2022-10-06,2683.000000,2705.000000,2678.000000,2688.000000,2568.621826,1068300
2022-10-07,2644.000000,2674.000000,2632.000000,2651.000000,2533.264893,1467800
2022-10-11,2673.000000,2681.000000,2628.000000,2628.000000,2511.286377,1575100
2022-10-12,2600.000000,2620.000000,2591.000000,2596.000000,2480.707764,1568400
2022-10-13,2572.000000,2594.000000,2563.000000,2573.000000,2458.729004,1179900
2022-10-14,2627.000000,2658.000000,2612.000000,2642.000000,2524.664795,1663300
2022-10-17,2622.000000,2637.000000,2609.000000,2612.000000,2495.997070,983100
2022-10-18,2632.000000,2648.000000,2619.000000,2647.000000,2529.442627,997600
2022-10-19,2646.000000,2669.000000,2643.000000,2652.000000,2534.220703,1029100
2022-10-20,2629.000000,2652.000000,2610.000000,2618.000000,2501.730469,1675100
2022-10-21,2602.000000,2619.000000,2602.000000,2607.000000,2491.218994,913500
2022-10-24,2628.000000,2641.000000,2615.000000,2617.000000,2500.774902,1047000
2022-10-25,2641.000000,2659.000000,2635.000000,2642.000000,2524.664795,1011500
