"コード","銘柄名","市場","現在値","前日比(%)"
"1491","中外鉱業","東S","31","+0.0(+0.00%)"
"1757","創建エース","東S","39","+3.0(+8.33%)"
"1783","アジアゲートＨＬＤＧ","東S","49","-1.0(-2.00%)"
"2134","燦キャピタルマネージメント","東S","23","+1.0(+4.55%)"
"2315","ＣＡＩＣＡ　ＤＩＧＩＴＡＬ","東S","59","+1.0(+1.72%)"
"2321","ソフトフロントＨＬＤＧ","東G","98","+3.0(+3.16%)"
"2330","フォーサイド","東S","77","+0.0(+0.00%)"
"2370","メディネット","東G","53","-1.0(-1.85%)"
"2586","フルッタフルッタ","東G","75","-1.0(-1.32%)"
"2694","焼肉坂井ＨＬＤＧ","東S","76","+0.0(+0.00%)"
"2743","ピクセルカンパニーズ","東S","41","-1.0(-2.38%)"
"2776","新都ＨＬＤＧ","東S","69","-1.0(-1.43%)"
"2926","篠崎屋","東S","91","-1.0(-1.09%)"
"3113","Ｏａｋキャピタル","東S","91","+0.0(+0.00%)"
"3202","ダイトウボウ","東S","94","+1.0(+1.08%)"
"3237","イントランス","東G","63","-1.0(-1.56%)"
"3266","ファンドクリエーショングループ","東S","87","+1.0(+1.16%)"
"3323","レカム","東S","89","+1.0(+1.14%)"
"3350","メタプラネット","東S","22","+1.0(+4.76%)"
"3521","エコナックＨＬＤＧ","東P","84","+0.0(+0.00%)"
"3664","モブキャストＨＬＤＧ","東G","79","+0.0(+0.00%)"
"3777","ＦＨＴ　ＨＬＤＧ","東G","47","+0.0(+0.00%)"
"3808","オウケイウェイヴ","名N","46","+1.0(+2.22%)"
"3823","ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ","東S","89","+0.0(+0.00%)"
"4563","アンジェス","東G","99","-1.0(-1.00%)"
"4564","オンコセラピー・サイエンス","東G","31","+1.0(+3.33%)"
"4596","窪田製薬ＨＬＤＧ","東G","94","-1.0(-1.05%)"
"4597","ソレイジア・ファーマ","東G","47","+0.0(+0.00%)"
"5103","昭和ＨＬＤＧ","東S","46","+0.0(+0.00%)"
"5721","エス・サイエンス","東S","23","-1.0(-4.17%)"
"5856","エルアイイーエイチ","東S","50","+1.0(+2.04%)"
"5940","不二サッシ","東S","79","+0.0(+0.00%)"
"5955","ヤマシナ","東S","81","+0.0(+0.00%)"
"6192","ハイアス・アンド・カンパニー","東G","93","+1.0(+1.09%)"
"6659","メディアリンクス","東S","45","+0.0(+0.00%)"
"6731","ピクセラ","東S","2","-1.0(-33.33%)"
"6740","ジャパンディスプレイ","東P","40","+0.0(+0.00%)"
"6786","ＲＶＨ","東S","56","+1.0(+1.82%)"
"6993","大黒屋ＨＬＤＧ","東S","54","+0.0(+0.00%)"
"7111","ＩＮＥＳＴ","東S","53","+1.0(+1.92%)"
"7527","システムソフト","東P","80","+0.0(+0.00%)"
"7571","ヤマノＨＬＤＧ","東S","69","+0.0(+0.00%)"
"7647","音通","東S","29","+0.0(+0.00%)"
"7771","日本精密","東S","82","+0.0(+0.00%)"
"7836","アビックス","東S","99","-2.0(-1.98%)"
"8105","堀田丸正","東S","53","+1.0(+1.92%)"
"8107","キムラタン","東S","20","+0.0(+0.00%)"
"8166","タカキュー","東S","91","-1.0(-1.09%)"
"8256","プロルート丸光","東S","35","+0.0(+0.00%)"
"8746","第一商品","東S","96","+0.0(+0.00%)"
"8783","ＧＦＡ","東S","71","+1.0(+1.43%)"
"8789","フィンテック　グローバル","東S","63","+0.0(+0.00%)"
"8836","ＲＩＳＥ","東S","20","+0.0(+0.00%)"
"8894","ＲＥＶＯＬＵＴＩＯＮ","東S","17","-2.0(-10.53%)"
"8918","ランド","東S","9","+1.0(+12.50%)"
"8946","ＡＳＩＡＮ　ＳＴＡＲ","東S","90","-1.0(-1.10%)"
"9399","ビートＨＬＤＧ","東S","5","+0.0(+0.00%)"
"9423","フォーバル・リアルストレート","東S","98","-1.0(-1.01%)"
"9704","アゴーラ　ホスピタリティー","東S","25","-1.0(-3.85%)"
"9973","小僧寿し","東S","19","+0.0(+0.00%)"
"9978","文教堂グループＨＬＤＧ","東S","39","+0.0(+0.00%)"
