13010	KYOKUYO CO.,LTD.	0111	011	
13050	iFreeETF TOPIX (Yearly Dividend Type)	0109	014	
13060	NEXT FUNDS TOPIX Exchange Traded Fund	0109	014	
13080	Listed Index Fund TOPIX	0109	014	
13090	NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund	0109	014	
130A0	Veritas In Silico Inc.	0113	011	
13110	NEXT FUNDS TOPIX Core 30 Exchange Traded Fund	0109	014	
13190	NEXT FUNDS Nikkei 300 Index Exchange Traded Fund	0109	014	
131A0	CCN Group Corporation	0105	011	
13200	iFreeETF Nikkei225 (Yearly Dividend Type)	0109	014	
13210	NEXT FUNDS Nikkei 225 Exchange Traded Fund	0109	014	
13220	Listed Index Fund China A Share (Panda) E Fund CSI300	0109	014	
13250	NEXT FUNDS Ibovespa Linked Exchange Traded Fund	0109	014	
13260	SPDR Gold Shares	0109	023	
13280	NEXT FUNDS Gold Price Exchange Traded Fund	0109	014	
13290	iShares Core Nikkei 225 ETF	0109	014	
132A0	IN Holdings Co.,LTD.	0105	011	
13300	Listed Index Fund 225	0109	014	
13320	Nissui Corporation	0111	011	
13330	Umios Corporation	0111	011	
133A0	Global X Ultra Short-Term T-Bill ETF	0109	014	
13430	NEXT FUNDS REIT INDEX ETF	0109	014	
13450	Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index)Bi-Monthly Dividend Payment Type	0109	014	
13460	MAXIS NIKKEI 225 ETF	0109	014	
13480	MAXIS TOPIX ETF	0109	014	
13490	ABF PAN ASIA BOND INDEX FUND	0109	023	
134A0	UPraise,Inc	0105	011	
13560	TOPIX Bear -2x ETF	0109	014	
13570	NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund	0109	014	
13580	Listed Index Fund Nikkei Leveraged Index	0109	014	
135A0	VRAIN Solution,Inc.	0113	011	
13600	Nikkei225 Bear -2x ETF	0109	014	
13640	iShares JPX-Nikkei 400 ETF	0109	014	
13650	iFreeETF Nikkei225 Leveraged Index	0109	014	
13660	iFreeETF Nikkei225 Double Inverse Index	0109	014	
13670	iFreeETF TOPIX Leveraged (2x) Index	0109	014	
13680	iFreeETF TOPIX Double Inverse (-2x) Index	0109	014	
13690	One ETF Nikkei225	0109	014	
13750	YUKIGUNI FACTORY CO.,LTD.	0111	011	
13760	KANEKO SEEDS CO.,LTD.	0112	011	
13770	SAKATA SEED CORPORATION	0111	011	
13790	HOKUTO CORPORATION	0111	011	
137A0	Cocolive,Inc.	0113	011	
13800	AKIKAWA FOODS & FARMS CO.,LTD.	0112	011	
13810	AXYZ CO.,Ltd.	0112	011	
13820	HOB Co.,Ltd.	0112	011	
13830	Berg Earth co.,ltd.	0112	011	
13840	Hokuryo Co.,Ltd.	0112	011	
138A0	Hikari Food Service Co.,Ltd.	0113	011	
13970	SMDAM NIKKEI225 ETF	0109	014	
13980	SMDAM REIT Index ETF	0109	014	
13990	Listed Index Fund MSCI Japan Equity High Dividend Low Volatility	0109	014	
139A0	Higashinihon Jisho Co.,Ltd.	0105	011	
14010	mbs,inc.	0113	011	
14070	West Holdings Corporation	0112	011	
140A0	iFreeETF 10-Year U.S. Treasury Note Futures Inverse	0109	014	
14140	SHO-BOND Holdings Co.,Ltd.	0111	011	
14170	MIRAIT ONE Corporation	0111	011	
14180	INTERLIFE HOLDINGS CO.,LTD.	0112	011	
14190	Tama Home Co.,Ltd.	0111	011	
141A0	TRIAL Holdings,Inc.	0113	011	
14200	Sanyo Homes Corporation	0112	011	
14290	Nippon Aqua Co.,Ltd.	0111	011	
142A0	JINJIB Co.,Ltd.	0113	011	
14300	First-corporation Inc.	0112	011	
14310	Lib Work Co.,Ltd.	0113	011	
14320	DORYOKU Co.,Ltd.	0105	011	
14330	BESTERRA CO.,LTD	0111	011	
14340	JESCO Holdings,Inc.	0112	011	
14350	robot home Inc.	0112	011	
14360	GreenEnergy & Company Inc.	0113	011	
14380	Gifu landscape architect Co.,Ltd.	0112	011	
143A0	Ishin Co.,Ltd.	0113	011	
14430	Giken Holdings Co.,Ltd.	0112	011	
14440	Nissou Co.,Ltd.	0113	011	
14450	Hikari Holdings Co.,Ltd.	0105	011	
14460	CANDEAL Co.,Ltd.	0112	011	
14470	SAAF Holdings Co.,Ltd.	0113	011	
144A0	ENERGY POWER CO.,Ltd.	0105	011	
14500	TANAKEN Inc.	0112	011	
14520	YOKOHAMA WRIGHT Industries Co.,LTD	0105	011	
14560	iFreeETF Nikkei225 Inverse Index	0109	014	
14570	iFreeETF TOPIX Inverse (-1x) Index	0109	014	
14580	Rakuten ETF - Nikkei 225 Leveraged Index	0109	014	
14590	Rakuten ETF - Nikkei 225 Double Inverse Index	0109	014	
145A0	L is B Corp.	0113	011	
14660	iFreeETF JPX-Nikkei400 Double Inverse (-2x) Index	0109	014	
14690	JPX-Nikkei 400 Bear -2x Double Inverse ETF	0109	014	
